ts,active_sessions,cpu,io_file,io_table,lock,synch,other
1785276282.20,0,0,0,0,0,0,0
1785276282.30,0,0,0,0,0,0,0
1785276282.41,1,0,0,0,0,0,1
1785276282.51,0,0,0,0,0,0,0
1785276282.61,1,1,0,0,0,0,0
1785276282.71,1,0,0,0,0,0,1
1785276282.81,0,0,0,0,0,0,0
1785276282.92,0,0,0,0,0,0,0
1785276283.02,0,0,0,0,0,0,0
1785276283.12,1,1,0,0,0,0,0
1785276283.22,1,0,0,0,0,0,1
1785276283.32,0,0,0,0,0,0,0
1785276283.42,0,0,0,0,0,0,0
1785276283.52,7,1,0,6,0,0,0
1785276283.62,8,1,0,7,0,0,0
1785276283.72,8,0,1,7,0,0,0
1785276283.82,8,0,1,7,0,0,0
1785276283.92,7,1,0,6,0,0,0
1785276284.02,8,0,1,7,0,0,0
1785276284.13,7,1,0,6,0,0,0
1785276284.23,8,0,1,7,0,0,0
1785276284.33,7,0,1,6,0,0,0
1785276284.44,8,0,1,7,0,0,0
1785276284.54,8,0,1,7,0,0,0
1785276284.64,7,1,0,6,0,0,0
1785276284.74,8,0,1,7,0,0,0
1785276284.84,8,0,1,7,0,0,0
1785276284.95,8,0,1,7,0,0,0
1785276285.05,8,0,1,7,0,0,0
1785276285.15,8,0,1,7,0,0,0
1785276285.25,7,1,0,6,0,0,0
1785276285.35,8,0,1,7,0,0,0
1785276285.46,8,0,1,7,0,0,0
1785276285.56,8,0,1,7,0,0,0
1785276285.66,8,0,1,7,0,0,0
1785276285.76,8,0,1,7,0,0,0
1785276285.86,8,0,1,7,0,0,0
1785276285.96,8,0,1,7,0,0,0
1785276286.06,8,0,1,7,0,0,0
1785276286.16,8,0,1,7,0,0,0
1785276286.27,8,0,1,7,0,0,0
1785276286.37,8,0,1,7,0,0,0
1785276286.47,8,0,1,7,0,0,0
1785276286.58,8,0,1,7,0,0,0
1785276286.68,8,0,1,7,0,0,0
1785276286.78,8,0,1,7,0,0,0
1785276286.88,8,0,1,7,0,0,0
1785276286.98,7,1,0,6,0,0,0
1785276287.09,7,1,0,6,0,0,0
1785276287.19,7,0,0,7,0,0,0
1785276287.29,8,0,0,7,0,0,1
1785276287.40,8,0,1,7,0,0,0
1785276287.50,8,0,1,7,0,0,0
1785276287.60,8,0,1,7,0,0,0
1785276287.70,7,0,1,6,0,0,0
1785276287.80,7,0,1,6,0,0,0
1785276287.91,8,0,1,7,0,0,0
